Житель Якутии украл у родителей телевизор  Подробнее - https://yakutsk.news/zhitel-yakutii-ukral-u-roditelej-televizor/№%:№%:2018-04-25 11:08:18№%:№%:139776120
В Якутии раскрыта кража из фирмы по ремонту техники  Подробнее - https://yakutsk.news/v-yakutii-raskryta-krazha-iz-firmy-po-remontu-texniki/№%:№%:2018-04-25 11:08:18№%:№%:139776120
В Якутском селе сгорело здание почты  Подробнее - https://yakutsk.news/v-yakutskom-sele-sgorelo-zdanie-pochty/№%:№%:2018-04-25 11:07:46№%:№%:139776120
Житель Якутии, задушивший знакомого, осужден на 7 лет  Подробнее - https://yakutsk.news/zhitel-yakutii-zadushivshij-znakomogo-osuzhden-na-7-let/№%:№%:2018-04-25 11:07:41№%:№%:139776120
В Якутске 27 апреля перекроют часть центральных улиц  Подробнее - https://yakutsk.news/v-yakutske-27-aprelya-perekroyut-chast-centralnyx-ulic/№%:№%:2018-04-25 03:58:26№%:№%:139776120
Отключение света 25 апреля в Якутске и шести районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-25-aprelya-v-yakutske-i-shesti-rajonax-yakutii/№%:№%:2018-04-24 12:41:33№%:№%:139776120
Жителя Якутска в течение 3 дней насильно удерживали в квартире и избивали  Подробнее - https://yakutsk.news/zhitelya-yakutska-v-techenie-3-dnej-nasilno-uderzhivali-v-kvartire-i-izbivali/№%:№%:2018-04-24 12:11:22№%:№%:139776120
В Якутске двое безработных украли 100 кг мяса и 200 кг масла  Подробнее - https://yakutsk.news/v-yakutske-dvoe-bezrabotnyx-ukrali-100-kg-myasa-i-200-kg-masla/№%:№%:2018-04-24 11:09:26№%:№%:139776120
В Якутске двое неоднократно судимых мужчин ответят за убийство и изнасилование  Подробнее - https://yakutsk.news/v-yakutske-dvoe-neodnokratno-sudimyx-muzhchin-otvetyat-za-ubijstvo-i-iznasilovanie/№%:№%:2018-04-24 10:19:33№%:№%:139776120
Житель Якутии осужден на 1 год за повторную езду в пьяном виде  Подробнее - https://yakutsk.news/zhitel-yakutii-osuzhden-na-1-god-za-povtornuyu-ezdu-v-pyanom-vide/№%:№%:2018-04-24 09:40:40№%:№%:139776120
